nct_id,study_result
NCT00096265,fail
NCT00096356,fail
NCT00096460,unknown
NCT00097253,success
NCT00097500,success
NCT00097591,success
NCT00097669,success
NCT00097695,fail
NCT00097708,success
NCT00097773,fail
NCT00097981,fail
NCT00098293,unknown
NCT00098306,unknown
NCT00098475,unknown
NCT00098722,unknown
NCT00098748,unknown
NCT00099047,fail
NCT00099359,success
NCT00099632,fail
NCT00100178,fail
NCT00100230,fail
NCT00100698,success
NCT00101283,unknown
NCT00101361,success
NCT00101439,fail
NCT00101452,success
NCT00101582,success
NCT00101686,success
NCT00101933,success
NCT00102063,success
NCT00102440,success
NCT00102960,success
NCT00103194,unknown
NCT00103402,fail
NCT00104052,unknown
NCT00104247,success
NCT00104299,success
NCT00104416,success
NCT00104520,success
NCT00104650,success
NCT00104676,success
NCT00105001,success
NCT00105196,success
NCT00105235,unknown
NCT00105443,success
NCT00105989,success
NCT00106028,success
NCT00106080,success
NCT00106184,fail
NCT00106249,success
NCT00106392,fail
NCT00106535,success
NCT00106704,success
NCT00106964,success
NCT00107042,fail
NCT00107120,success
NCT00107172,fail
NCT00107575,success
NCT00107653,success
NCT00107900,fail
NCT00107952,unknown
NCT00107978,unknown
NCT00108082,fail
NCT00108160,fail
NCT00108303,success
NCT00108355,success
NCT00108550,fail
NCT00108732,unknown
NCT00108862,fail
NCT00108953,success
NCT00109590,success
NCT00109733,success
NCT00109772,fail
NCT00109837,unknown
NCT00110019,fail
NCT00110084,unknown
NCT00110136,fail
NCT00110149,unknown
NCT00110214,fail
NCT00110305,fail
NCT00110461,success
NCT00110812,success
NCT00110890,success
NCT00110994,fail
NCT00111007,fail
NCT00111761,unknown
NCT00111800,success
NCT00112047,success
NCT00112125,fail
NCT00112151,success
NCT00112294,fail
NCT00112359,success
NCT00112437,success
NCT00112502,unknown
NCT00112918,fail
NCT00113022,fail
NCT00113087,fail
NCT00113269,success
NCT00113295,success
NCT00113425,success
NCT00113516,unknown
NCT00113529,unknown
NCT00113555,success
NCT00113607,success
NCT00113763,success
NCT00113841,fail
NCT00113880,success
NCT00114101,success
NCT00114127,fail
NCT00114140,success
NCT00114530,success
NCT00114634,fail
NCT00114777,success
NCT00115063,success
NCT00115349,fail
NCT00115765,success
NCT00115934,success
NCT00116207,success
NCT00116272,unknown
NCT00116337,success
NCT00116428,success
NCT00116584,success
NCT00116753,fail
NCT00116779,unknown
NCT00116805,success
NCT00116831,fail
NCT00116844,success
NCT00117325,success
NCT00117338,fail
NCT00117559,success
NCT00117572,fail
NCT00117598,success
NCT00117637,fail
NCT00117676,success
NCT00117715,success
NCT00117793,success
NCT00117806,success
NCT00117949,success
NCT00118209,fail
NCT00118378,success
NCT00118404,success
NCT00118417,success
NCT00118430,success
NCT00118534,success
NCT00118703,fail
NCT00118716,success
NCT00118742,success
NCT00118755,fail
NCT00118846,fail
NCT00118911,success
NCT00119015,fail
NCT00119158,success
NCT00119847,fail
NCT00120042,success
NCT00120289,fail
NCT00120406,success
NCT00120627,success
NCT00121108,success
NCT00121485,success
NCT00121641,success
NCT00121667,success
NCT00121810,success
NCT00122135,fail
NCT00122369,success
NCT00122382,success
NCT00122447,fail
NCT00122460,success
NCT00122681,unknown
NCT00122980,fail
NCT00123123,fail
NCT00123162,success
NCT00123422,success
NCT00123474,unknown
NCT00123487,unknown
NCT00123630,success
NCT00124020,unknown
NCT00124657,unknown
NCT00124709,fail
NCT00124943,fail
NCT00125034,fail
NCT00125138,fail
NCT00125164,success
NCT00125242,unknown
NCT00125515,fail
NCT00125593,success
NCT00125619,success
NCT00125658,success
NCT00125788,fail
NCT00125853,fail
NCT00125931,success
NCT00125957,success
NCT00126113,success
NCT00126425,success
NCT00126438,success
NCT00126737,success
NCT00126776,success
NCT00127062,success
NCT00127166,success
NCT00127192,success
NCT00127205,fail
NCT00127231,success
NCT00127439,success
NCT00127608,success
NCT00127712,success
NCT00127790,success
NCT00128102,fail
NCT00128180,fail
NCT00128206,success
NCT00128219,success
NCT00128713,fail
NCT00129220,success
NCT00129259,success
NCT00129402,success
NCT00129441,success
NCT00129545,unknown
NCT00129623,success
NCT00129649,success
NCT00129701,fail
NCT00129766,unknown
NCT00129961,success
NCT00130117,success
NCT00130247,unknown
NCT00130728,fail
NCT00130832,success
NCT00130923,fail
NCT00131352,success
NCT00131456,success
NCT00131508,fail
NCT00132041,unknown
NCT00132132,success
NCT00132301,fail
NCT00132314,fail
NCT00132678,success
NCT00132691,fail
NCT00132769,fail
NCT00133952,fail
NCT00134030,fail
NCT00134056,fail
NCT00134563,success
NCT00135226,success
NCT00135330,fail
NCT00135356,fail
NCT00135668,success
NCT00135694,unknown
NCT00135707,fail
NCT00135798,success
NCT00136084,fail
NCT00136214,success
NCT00136604,unknown
NCT00136812,success
NCT00136916,unknown
NCT00137046,unknown
NCT00137267,success
NCT00137280,success
NCT00137423,unknown
NCT00137449,unknown
NCT00137631,success
NCT00137969,fail
NCT00138294,unknown
NCT00139659,unknown
NCT00139776,success
NCT00139997,success
NCT00140426,fail
NCT00140842,success
NCT00141037,fail
NCT00141102,success
NCT00141219,success
NCT00141271,success
NCT00141453,fail
NCT00141518,success
NCT00141778,fail
NCT00142415,unknown
NCT00142792,success
NCT00142818,fail
NCT00142935,success
NCT00143312,unknown
NCT00143390,unknown
NCT00143403,fail
NCT00143455,success
NCT00143507,fail
NCT00143598,fail
NCT00144027,success
NCT00144170,success
NCT00144300,unknown
NCT00144339,fail
NCT00144391,fail
NCT00145119,unknown
NCT00145470,success
NCT00145496,fail
NCT00145574,success
NCT00145600,unknown
NCT00145795,success
NCT00146848,fail
NCT00147017,success
NCT00147069,success
NCT00147082,success
NCT00147199,success
NCT00147446,success
NCT00147537,success
NCT00147745,success
NCT00147823,success
NCT00148109,success
NCT00148343,unknown
NCT00148798,success
NCT00148941,unknown
NCT00148954,success
NCT00149214,unknown
NCT00149227,success
NCT00149643,success
NCT00149669,success
NCT00149799,success
NCT00149825,fail
NCT00150345,fail
NCT00150592,fail
NCT00150618,success
NCT00150969,success
NCT00151411,fail
NCT00151476,unknown
NCT00151775,success
NCT00151892,unknown
NCT00151996,success
NCT00152009,success
NCT00152464,fail
NCT00152477,fail
NCT00152971,success
NCT00153062,fail
NCT00153101,success
NCT00153803,fail
NCT00154102,success
NCT00156065,unknown
NCT00157209,success
NCT00157755,fail
NCT00157820,success
NCT00157950,unknown
NCT00158197,success
NCT00158262,unknown
NCT00158600,success
NCT00158860,success
NCT00159263,success
NCT00159588,fail
NCT00159822,unknown
NCT00159913,fail
NCT00159965,success
NCT00160667,fail
NCT00160680,fail
NCT00161616,fail
NCT00162266,success
NCT00162370,success
NCT00162942,fail
NCT00162981,success
NCT00163189,success
NCT00163293,success
NCT00165698,fail
NCT00165841,success
NCT00165984,success
NCT00166114,fail
NCT00166205,success
NCT00166296,success
NCT00166504,success
NCT00166517,success
NCT00167245,success
NCT00167388,success
NCT00167778,fail
NCT00167934,success
NCT00168064,unknown
NCT00168103,success
NCT00168805,fail
NCT00168818,fail
NCT00168831,success
NCT00168844,success
NCT00169104,success
NCT00170846,fail
NCT00174252,unknown
NCT00174265,success
NCT00174382,fail
NCT00174460,success
NCT00174785,success
NCT00174915,success
NCT00174954,success
NCT00174967,success
NCT00175825,success
NCT00176202,success
NCT00176423,success
NCT00176592,success
NCT00177294,fail
NCT00177671,success
NCT00178126,success
NCT00178503,success
NCT00178633,success
NCT00178711,fail
NCT00179010,fail
NCT00179309,fail
NCT00179478,success
NCT00179621,success
NCT00180271,success
NCT00180479,success
NCT00180661,success
NCT00180674,success
NCT00180713,success
NCT00181155,success
NCT00181363,success
NCT00181961,success
NCT00182078,success
NCT00182325,success
NCT00182754,fail
NCT00183092,fail
NCT00183196,success
NCT00183456,success
NCT00183625,fail
NCT00183729,fail
NCT00184548,fail
NCT00185211,success
NCT00185458,fail
NCT00185900,success
NCT00186017,fail
NCT00186056,fail
NCT00186069,fail
NCT00186186,success
NCT00186446,success
NCT00186485,success
NCT00186498,success
NCT00186888,unknown
NCT00186901,success
NCT00187135,fail
NCT00187278,fail
NCT00187889,fail
NCT00189098,unknown
NCT00189202,fail
NCT00189228,success
NCT00189423,success
NCT00189488,fail
NCT00189540,fail
NCT00190684,success
NCT00190749,success
NCT00190775,success
NCT00191100,success
NCT00191113,success
NCT00191139,unknown
NCT00191152,fail
NCT00191165,fail
NCT00191282,fail
NCT00191477,fail
NCT00191646,fail
NCT00191906,fail
NCT00191945,success
NCT00192023,success
NCT00192647,fail
NCT00194025,success
NCT00195273,fail
NCT00195351,success
NCT00195403,success
NCT00195429,fail
NCT00195494,success
NCT00195507,success
NCT00195663,success
NCT00195702,success
NCT00195819,fail
NCT00196105,success
NCT00196937,unknown
NCT00197002,unknown
NCT00197106,fail
NCT00198822,success
NCT00199901,unknown
NCT00200057,success
NCT00200967,fail
NCT00201201,success
NCT00201643,success
NCT00202644,unknown
NCT00202839,fail
NCT00202878,success
NCT00203047,fail
NCT00203268,fail
NCT00203294,success
NCT00203892,success
NCT00203931,fail
NCT00204490,success
NCT00204737,fail
NCT00204932,success
NCT00205348,success
NCT00205660,success
NCT00205699,success
NCT00205777,success
NCT00205803,unknown
NCT00206323,success
NCT00206726,success
NCT00207090,unknown
NCT00207142,unknown
NCT00207714,success
NCT00207727,success
NCT00207740,fail
NCT00207883,success
NCT00208091,fail
NCT00208507,success
NCT00209131,success
NCT00210626,fail
NCT00211536,success
NCT00212134,fail
NCT00212264,success
NCT00213135,success
NCT00214045,fail
NCT00214903,unknown
NCT00215137,success
NCT00215150,success
NCT00215540,fail
NCT00215553,fail
NCT00216060,fail
NCT00216125,fail
NCT00216476,success
NCT00216671,fail
NCT00217087,success
NCT00218296,success
NCT00218439,success
NCT00218634,success
NCT00219544,success
NCT00219557,fail
NCT00220636,success
NCT00220701,fail
NCT00220740,success
NCT00220779,fail
NCT00220805,fail
NCT00221104,fail
NCT00221117,success
NCT00221195,success
NCT00223236,fail
NCT00223652,success
NCT00223678,fail
NCT00223704,fail
NCT00223821,fail
NCT00224406,fail
NCT00224770,fail
NCT00225017,fail
NCT00225147,success
NCT00225251,success
NCT00225277,success
NCT00226499,success
NCT00226811,unknown
NCT00227877,success
NCT00227903,fail
NCT00228566,unknown
NCT00229970,success
NCT00230100,success
NCT00230178,success
NCT00230737,success
NCT00230971,unknown
NCT00231153,fail
NCT00231179,success
NCT00231283,unknown
NCT00232141,fail
NCT00232180,success
NCT00232596,success
NCT00232739,unknown
NCT00233064,unknown
NCT00233480,success
NCT00234065,success
NCT00234078,fail
NCT00234104,success
NCT00234286,success
NCT00234533,unknown
NCT00234832,success
NCT00235456,success
NCT00235495,unknown
NCT00235716,success
NCT00235755,success
NCT00236080,fail
NCT00236184,success
NCT00236899,fail
NCT00237042,success
NCT00237666,success
NCT00237692,unknown
NCT00237718,success
NCT00238238,success
NCT00238615,unknown
NCT00239226,success
NCT00239681,success
NCT00240487,success
NCT00240981,success
NCT00240994,unknown
NCT00241176,success
NCT00241631,success
NCT00241839,fail
NCT00241904,success
NCT00241969,success
NCT00242385,unknown
NCT00242710,success
NCT00243022,fail
NCT00243230,success
NCT00243269,fail
NCT00243386,fail
NCT00243919,fail
NCT00243932,fail
NCT00244101,unknown
NCT00244140,unknown
NCT00244712,fail
NCT00244725,success
NCT00244751,fail
NCT00244764,unknown
NCT00245050,success
NCT00245219,success
NCT00245765,success
NCT00246025,success
NCT00246129,fail
NCT00246337,success
NCT00246571,fail
NCT00246805,success
NCT00247273,unknown
NCT00247611,success
NCT00247676,unknown
NCT00247728,fail
NCT00247962,success
NCT00248040,fail
NCT00248170,fail
NCT00248547,success
NCT00248560,unknown
NCT00248625,fail
NCT00248651,success
NCT00248794,fail
NCT00249470,success
NCT00249496,success
NCT00249613,success
NCT00249795,fail
NCT00249821,success
NCT00249873,success
NCT00250276,unknown
NCT00250432,unknown
NCT00250588,success
NCT00251004,success
NCT00251303,fail
NCT00251641,success
NCT00251693,success
NCT00251719,success
NCT00251745,success
NCT00251758,success
NCT00251862,success
NCT00252187,success
NCT00252512,success
NCT00252538,success
NCT00252590,fail
NCT00252629,success
NCT00252694,fail
NCT00252720,fail
NCT00252733,fail
NCT00253370,success
NCT00253643,fail
NCT00253890,success
NCT00254501,fail
NCT00254540,unknown
NCT00254566,unknown
NCT00255008,unknown
NCT00255151,success
NCT00255164,success
NCT00255190,success
NCT00255970,success
NCT00256126,success
NCT00256204,success
NCT00256217,success
NCT00256750,success
NCT00256867,success
NCT00256997,fail
NCT00257166,success
NCT00257192,fail
NCT00257309,fail
NCT00257556,unknown
NCT00257608,success
NCT00257660,success
NCT00257725,success
NCT00257894,fail
NCT00257920,fail
NCT00258154,success
NCT00258310,unknown
NCT00258674,fail
NCT00259012,success
NCT00259298,success
NCT00260065,unknown
NCT00260832,fail
NCT00261443,success
NCT00261495,success
NCT00261716,fail
NCT00261833,success
NCT00262028,unknown
NCT00262041,success
NCT00262080,success
NCT00262223,success
NCT00262301,success
NCT00262522,fail
NCT00262600,success
NCT00262639,success
NCT00262730,fail
NCT00262834,fail
NCT00262847,success
NCT00262964,success
NCT00263887,success
NCT00264147,success
NCT00264303,success
NCT00264537,success
NCT00264550,success
NCT00264576,unknown
NCT00265083,success
NCT00265096,success
NCT00265122,fail
NCT00265148,fail
NCT00265317,fail
NCT00265395,fail
NCT00265564,success
NCT00265616,fail
NCT00265850,fail
NCT00265941,fail
NCT00266032,success
NCT00266227,success
NCT00266409,success
NCT00266630,unknown
NCT00266799,fail
NCT00266864,success
NCT00267046,success
NCT00267098,fail
NCT00267111,success
NCT00267293,success
NCT00267631,success
NCT00267670,fail
NCT00267748,fail
NCT00267956,success
NCT00267969,success
NCT00268346,success
NCT00268996,fail
NCT00269113,success
NCT00269152,unknown
NCT00270257,fail
NCT00270634,unknown
NCT00270855,success
NCT00270998,success
NCT00271154,fail
NCT00271544,unknown
NCT00271596,fail
NCT00271817,success
NCT00272779,success
NCT00272792,success
NCT00272961,success
NCT00273052,success
NCT00273182,unknown
NCT00274456,success
NCT00274469,fail
NCT00274625,fail
NCT00274716,success
NCT00275301,success
NCT00275340,success
NCT00275392,success
NCT00275561,fail
NCT00276016,fail
NCT00276380,fail
NCT00276406,success
NCT00276458,success
NCT00276484,success
NCT00277212,fail
NCT00277446,success
NCT00278954,success
NCT00279201,success
NCT00279214,fail
NCT00279305,success
NCT00279812,success
NCT00279916,fail
NCT00279955,success
NCT00280059,unknown
NCT00280566,success
NCT00281099,unknown
NCT00281528,fail
NCT00281632,unknown
NCT00281658,success
NCT00281918,success
NCT00282087,fail
NCT00282113,fail
NCT00282152,fail
NCT00282243,unknown
NCT00282256,unknown
NCT00282295,unknown
NCT00282347,fail
NCT00282464,success
NCT00282568,unknown
NCT00282984,success
NCT00283387,success
NCT00283439,fail
NCT00283686,success
NCT00283712,fail
NCT00283842,success
NCT00284856,unknown
NCT00285012,success
NCT00285584,fail
NCT00285779,fail
NCT00286091,success
NCT00286156,success
NCT00286429,success
NCT00286442,success
NCT00286455,success
NCT00286468,success
NCT00286494,success
NCT00286741,success
NCT00286754,success
NCT00287222,success
NCT00288015,unknown
NCT00288080,success
NCT00288574,fail
NCT00288600,fail
NCT00288639,unknown
NCT00288704,success
NCT00288912,success
NCT00289198,success
NCT00289211,success
NCT00289289,fail
NCT00289341,success
NCT00289536,fail
NCT00289731,unknown
NCT00289783,unknown
NCT00289848,success
NCT00289900,success
NCT00289991,unknown
NCT00290186,fail
NCT00290251,success
NCT00290290,success
NCT00290342,unknown
NCT00290355,fail
NCT00290745,success
NCT00291187,success
NCT00291330,success
NCT00291499,success
NCT00291577,unknown
NCT00291642,success
NCT00291694,fail
NCT00292188,success
NCT00292227,unknown
NCT00292370,success
NCT00292461,fail
NCT00293033,success
NCT00293059,success
NCT00293241,fail
NCT00293384,fail
NCT00293462,fail
NCT00293813,unknown
NCT00294398,fail
NCT00294515,success
NCT00294645,success
NCT00294671,success
NCT00294684,fail
NCT00294723,success
NCT00295022,success
NCT00295061,unknown
NCT00295620,fail
NCT00295646,success
NCT00295750,unknown
NCT00296036,fail
NCT00296231,success
NCT00296491,success
NCT00296517,fail
NCT00297102,success
NCT00297115,success
NCT00297167,success
NCT00297258,success
NCT00297427,success
NCT00297492,fail
NCT00297778,success
NCT00297882,success
NCT00298038,success
NCT00298090,fail
NCT00298233,fail
NCT00298389,success
NCT00298558,success
NCT00299104,success
NCT00299546,success
NCT00299702,fail
NCT00299975,success
NCT00300053,success
NCT00300235,unknown
NCT00300365,success
NCT00300456,success
NCT00300469,success
NCT00300482,success
NCT00300677,unknown
NCT00300755,success
NCT00300885,fail
NCT00301262,success
NCT00301808,unknown
NCT00302081,success
NCT00302848,success
NCT00302952,fail
NCT00303069,success
NCT00303446,fail
NCT00303459,fail
NCT00303485,success
NCT00303498,success
NCT00303602,fail
NCT00303628,fail
NCT00303979,success
NCT00304031,fail
NCT00304070,success
NCT00304187,success
NCT00304746,fail
NCT00304915,success
NCT00305006,success
NCT00305084,unknown
NCT00305253,success
NCT00305344,success
NCT00305565,fail
NCT00305604,success
NCT00305864,fail
NCT00306189,success
NCT00306787,unknown
NCT00307125,fail
NCT00307151,success
NCT00307164,fail
NCT00307333,fail
NCT00307437,success
NCT00307489,fail
NCT00307684,fail
NCT00307801,success
NCT00308087,fail
NCT00308139,success
NCT00308308,unknown
NCT00308685,success
NCT00308711,success
NCT00308737,unknown
NCT00308750,fail
NCT00309244,unknown
NCT00309387,success
NCT00309452,success
NCT00309465,success
NCT00309608,success
NCT00309985,success
NCT00310180,fail
NCT00310310,success
NCT00310401,fail
NCT00310466,fail
NCT00310765,success
NCT00311168,success
NCT00311363,success
NCT00311402,fail
NCT00312195,success
NCT00312208,fail
NCT00312221,fail
NCT00312494,fail
NCT00312845,success
NCT00312858,success
NCT00313014,success
NCT00313144,success
NCT00313209,success
NCT00313300,unknown
NCT00313716,success
NCT00313820,fail
NCT00313846,success
NCT00314236,success
NCT00314249,success
NCT00314951,unknown
NCT00315120,success
NCT00315302,success
NCT00315328,unknown
NCT00315341,success
NCT00315445,success
NCT00315822,fail
NCT00315939,success
NCT00316004,fail
NCT00316017,fail
NCT00316173,unknown
NCT00316303,success
NCT00316524,unknown
NCT00316602,unknown
NCT00316719,success
NCT00316888,fail
NCT00316914,success
NCT00317642,fail
NCT00318136,unknown
NCT00318149,unknown
NCT00318292,success
NCT00318357,success
NCT00318409,fail
NCT00318461,success
NCT00318565,success
NCT00318591,success
NCT00318656,fail
NCT00319501,success
NCT00319644,fail
NCT00319956,fail
NCT00319982,fail
NCT00320086,success
NCT00320112,success
NCT00320216,success
NCT00320242,success
NCT00320281,fail
NCT00320372,success
NCT00320385,success
NCT00320489,fail
NCT00320541,fail
NCT00320593,unknown
NCT00320606,unknown
NCT00320671,fail
NCT00321269,fail
NCT00321464,success
NCT00321594,unknown
NCT00321620,success
NCT00321672,fail
NCT00321711,unknown
NCT00321737,success
NCT00321789,fail
NCT00321854,fail
NCT00321919,fail
NCT00321971,success
NCT00321984,success
NCT00322153,success
NCT00322309,success
NCT00322621,success
NCT00322868,success
NCT00323063,fail
NCT00323193,fail
NCT00323258,fail
NCT00323271,fail
NCT00323297,fail
NCT00323310,success
NCT00323427,fail
NCT00323492,success
NCT00323609,fail
NCT00323960,success
NCT00324116,unknown
NCT00324155,success
NCT00324168,fail
NCT00324233,fail
NCT00324272,fail
NCT00324350,fail
NCT00324649,success
NCT00324753,success
NCT00324805,fail
NCT00324857,success
NCT00325039,unknown
NCT00325130,success
NCT00325195,success
NCT00325403,success
NCT00325442,fail
NCT00325819,fail
NCT00326001,fail
NCT00326625,fail
NCT00326898,fail
NCT00327444,success
NCT00327717,success
NCT00328172,success
NCT00328627,success
NCT00328653,success
NCT00329238,success
NCT00329407,success
NCT00329433,success
NCT00329602,success
NCT00329784,success
NCT00329797,fail
NCT00329849,unknown
NCT00329901,unknown
NCT00330174,fail
NCT00330187,fail
NCT00330460,success
NCT00330551,success
NCT00330733,success
NCT00330759,success
NCT00331006,success
NCT00331344,unknown
NCT00331773,success
NCT00331799,success
NCT00332163,unknown
NCT00332202,fail
NCT00332332,unknown
NCT00332488,fail
NCT00332722,success
NCT00333177,success
NCT00333437,success
NCT00333619,fail
NCT00333775,success
NCT00333801,success
NCT00333866,success
NCT00333983,success
NCT00334282,success
NCT00334802,success
NCT00335257,unknown
NCT00335283,success
NCT00335452,success
NCT00335504,fail
NCT00335556,success
NCT00335777,fail
NCT00335972,success
NCT00336024,fail
NCT00336284,success
NCT00336323,success
NCT00336479,success
NCT00336505,fail
NCT00336544,fail
NCT00337129,unknown
NCT00337285,success
NCT00337350,success
NCT00337428,success
NCT00337467,unknown
NCT00337610,success
NCT00337662,success
NCT00337675,fail
NCT00337727,success
NCT00337779,fail
NCT00337935,success
NCT00338884,unknown
NCT00338949,fail
NCT00338962,success
NCT00339040,fail
NCT00339183,success
NCT00343044,fail
NCT00343252,fail
NCT00343382,fail
NCT00344318,unknown
NCT00344500,success
NCT00345033,success
NCT00345176,success
NCT00345254,fail
NCT00345332,success
NCT00345384,success
NCT00345592,unknown
NCT00345605,unknown
NCT00345631,success
NCT00345839,fail
NCT00345943,success
NCT00345969,success
NCT00346073,unknown
NCT00346151,unknown
NCT00346216,success
NCT00346268,success
NCT00346333,fail
NCT00346398,fail
NCT00346697,success
NCT00347360,fail
NCT00347776,success
NCT00347919,fail
NCT00348140,fail
NCT00348283,fail
NCT00348309,success
